Topology,Communication Paradigm,Hallucination Test Type,Accuracy (without decision intervention),Accuracy (Decision Intervention),Runtime (without decision intervention),Runtime (Decision Intervention),Accuracy Gain,Time Cost,Accuracy Gain Normalized,Time Cost Normalized,Efficiency Score,Configuration
Centralized,Competitive,common-sense,0.792,0.832,23.55,19.29,0.05050505050505041,0.180891719745223,0.11219880318442232,0.25294249292505067,-0.14074368974062834,Centralized - Competitive
Centralized,Cooperation,common-sense,0.792,0.832,26.43,19.41,0.05050505050505041,0.2656072644721907,0.11219880318442232,0.37675674904457074,-0.2645579458601484,Centralized - Cooperation
Centralized,Debate,common-sense,0.816,0.872,28.7,19.11,0.06862745098039222,0.33414634146341465,0.16227536261786418,0.4769286225789625,-0.31465325996109833,Centralized - Debate
Decentralized,Competitive,common-sense,0.792,0.84,19.2,11.34,0.06060606060606052,0.409375,0.14011032811453725,0.5868775159679657,-0.4467671878534284,Decentralized - Competitive
Decentralized,Cooperation,common-sense,0.808,0.816,19.18,11.54,0.009900990099009771,0.3983315954118874,0.0,0.5707372558951435,-0.5707372558951435,Decentralized - Cooperation
Decentralized,Debate,common-sense,0.832,0.864,19.17,19.02,0.0384615384615385,0.0078247261345854,0.07891967730620879,0.0,0.07891967730620879,Decentralized - Debate
Layered,Competitive,common-sense,0.808,0.864,15.36,11.91,0.06930693069306923,0.22460937499999997,0.16415292879691346,0.31683712976065315,-0.1526842009637397,Layered - Competitive
Layered,Cooperation,common-sense,0.808,0.856,22.49,12.09,0.05940594059405932,0.4624277456647399,0.13679410733076122,0.6644156615438253,-0.527621554213064,Layered - Cooperation
Layered,Debate,common-sense,0.8,0.872,14.37,10.82,0.08999999999999994,0.24704244954766869,0.22133286566117163,0.3496237269140462,-0.12829086125287456,Layered - Debate
Decision_Center,Non,common-sense,0.624,0.856,17.21,5.3,0.37179487179487175,0.6920395119116792,1.0,1.0,0.0,Decision_Center - Non
